id,submission_time,vote_number,question_id,message,image
1,1493398154,4,1,You need to use brackets: my_list = [],image
2,1648130799,3,4,hier könntest du deine wasser uhr gelesen,/uploaded_files/3453.jpeg
3,1648130844,2,4,Eine kleine wunderschöne waterklokk,/uploaded_files/dasdasdfmtre.jpeg
4,1648130974,4,4,"Panzvelkraftwagen kugelschreiber 
schmetterling 13:12:12:41",/uploaded_files/no_image_found.png
5,1648131098,0,5,BOJLER ELADÓ!!!,/uploaded_files/awfegsf.jpeg
6,1648131132,0,5,BOJLER IST ELADÓ SCHNELL SCHNELL! SŐN,/uploaded_files/awfegswafgse.jpeg
7,1648131265,4,6,Diese anscprüchlose Kakteen braucht man zweimal in monat zu giessen,/uploaded_files/kjhw345.jpeg
8,1648131298,1,6,Wir haben bescholssen ein GmbH zu gründen,/uploaded_files/no_image_found.png
9,1648131391,2,7,Mee too,/uploaded_files/download (1).jpeg
10,1648131420,1,7,Tekerd vissza apám!,/uploaded_files/download.jpeg
11,1648131436,3,7,GÁZÓRA ELADÓ!,/uploaded_files/Gazora_G4___Gazmero_G4_almeronek_akcio_30066158361096.jpeg
